,country,count,Country,Latitude,Longitude
140,Gabon,2,Gabon,-0.803689,11.609444
141,Liberia,2,Liberia,6.4280550000000005,-9.429499
142,Guinea,2,Guinea,9.945587,-9.696645
143,Malta,2,Malta,35.937496,14.375416
144,Mozambique,1,Mozambique,-18.665695,35.529562
145,Seychelles,1,Seychelles,-4.679574,55.491977
146,Qatar,1,Qatar,25.354826,51.183884
147,Montenegro,1,Montenegro,42.708678000000006,19.37439
148,Eritrea,1,Eritrea,15.179383999999999,39.782334000000006
149,Montserrat,1,,,
150,Liechtenstein,1,Liechtenstein,47.166000000000004,9.555373
151,Sao Tome And Principe,1,,,
152,Kiribati,1,Kiribati,1.8708832999999998,-157.36302619999998
153,Turks And Caicos Islands,1,,,
154,Bhutan,1,Bhutan,27.514162,90.433601
155,Lesotho,1,Lesotho,-29.609988,28.233608
156,Saint Vincent And The Grenadines,1,,,
157,Burundi,1,Burundi,-3.3730559999999996,29.918885999999997
